007Haarp	Hayweird, Ca.
badly_burnt	USA, No endorsement by default.
badpure	ตามรูขุมขน
baejook_	• spring bliss •
baekkkyoong	EXO Planet
baekky_chann	♥WE ARE ONE ♥   ⓒⓗⓐⓝⓑⓐⓔⓚ  ♥
baharmouti	بهاء العرموطي Amman
baitimdnoor	Ampang, kl
bakerygurl	🇨🇦Canada eh!🇨🇦
baksgraphy	kuala loco
balogun_khalil	127.0.0.1
balqisrssdi	somewhere on earth
bambi380	Houston, TX, Rabbit Hole, USA, Science Ed, Whippet Mom, Breast Cancer Survivor, Politically Awake, Lover of Golf/Tennis, Goal = Fairness
bamboobewja	We are one#ทีมชานแบค#รักฮุน
bami650	福岡県福岡市
ban239	Washington, DC, Kraków
bangwinissimo	ÜT: -6.232766,106.827049
banullkhanza	77.7167° N, 104.3000° E
barangfreedom	Masan, S.Korea
barani51	Bharatvarsha
barbara_starr62	Western Canada heaven on earth
barbie_resoles	Naga City, Bicol Region
barisdemirel	Deloitte Türkiye
barjanski	Ljubljana, Slovenia/EU
barou064	الدارالبيضاء - المغرب, الأرض
barre_toi_	夫の出張地によってあちこち
barrosromo	En algún lugar del universo
barrycagreen	Lisbon. Business in U.K.
barua_ashish	Planet Earth
baruchinha	ZL, SP
barusii_	Quickens Loans Arena
bas_metha	เชียงราย, ประเทศไทย
basche42	🇺🇸 in 🇿🇦
basedinfidel8	Peoples Republic Commiefornia
basedishi	the kitchen prolly
basic1929	青森県八戸市
baslizu129	โหนคานแลนด์
basorunlagos	Hamburg, Upminster and Lagos
bassem_370	🇧🇭
basshooker2	anywhere on a lake!
batamnewsonline	Batam, Kepri, Indonesia
batemancapital	Dorsia
battlecat847	Rent free in your head.
bauhiniacapital	Not All There
bazar2geek	127.0.0.1
bb_tcbn	関東の→↓
bbaaam	after the rain♡
bbcvietnamese	London - W1A 1AA
bbhplla94	KAIHUN&NOMIN&LUMARK AREA ♡
bbradsby	Dark side of the moon
bbrikumiya	フォロバは気分
bbutter07	 EXO:SEVENTEEN:MONSTAX:NEX7💗
bbykxxx	your current location
bc5a47d	兵庫県の田舎
bckrasnow	Palo Alto ⏩ NYC
bea2003	東京都、日本
beachnut826	Beach and mountains
beacongal	505 via PGH 12508 NYC N7
beam_1707	จ.เชียงราย, ประเทศไทย
beam_derr	12 06 2013
beamediavilla	Roshar
beardedcrank	Stuffing ballot boxes
beataman	http://www.beatman.cz/
beautifulnara	ÜT: 3.034091,101.717655
bebexsonhw_th	(+10m 🦁 ♡ )
becausehc	Unsure
beckoh	Las Vegas, NV 1stOH-2ndCA-LV
beckwith_ebooks	Inside the Beltway
beebeeka46	อกข้างซ้ายของปู่ฝ่าน
beemissy	Republic of Wadiya
beepcap	神奈川県横浜市
beerchub	กรุงเทพมหานคร, ประเทศไทย
beerdoyy	onghoon
begg843	Blue Planet
behzadmassaband	1769 westwood blvd la ca 90024
beijingscribe	Hong Kong
beingboring	iPhone: 52.294266,8.915319
bel_57	Why so curious?
belalentera	Indonesia-JawaTimur-Trenggalek
believingher	List=Blocked
bellabstrak	Froyo Story HQ
bellaella7	Singapore and the World
bellesapepper37	Earth, right?
belsepeda	sub • otp enthusiasm 🔞
ben_aduo	127.0.0.1
benbenchia	Assessistan SSR
benbenoit1	lanaudiaires
bendelidiyilim	Hayal Dünyası
bender2440	Arctic to Tropics
benedict_kiely	Priest hole
benfloser	Barrio de la Estación, Aguascalientes
benhaygood	Global events / Jersey action
benikiraimo	ウコギの上部
benjaminopowers	The Internet & Brooklyn.
benjaminqiu	Shanghai, Beijing, Hong Kong
bennyshimange	Limpopo, Giyani town
benoitoboucher	🇭🇷#Zagreb
benrola	Parallel Universe
bensan23	豊葦原瑞穂之国
benz_mercedez	กรุงเทพมหานคร, ประเทศไทย
beremuz	Pto Ordaz. BoL, Venezuela
bergerb2	grindlewald
bergmayer	Cedarn, Utana
berima_paeclick	Accra, Ghana 🇬🇭
bermudez381	el tigre ed anzoategui. VZLA
berniepallmann	Arraial d Ajuds
bernt_berger	RT ≠ endorsement
berrebi555	Los Angeles, California (DTLA)
bertiespangles	Sth Dublin Solopsist Synagogue
bestgooddee	เบสแลนด์,ดับเบิ้ลอาคานิเนด
besthealthyou	Planet Earth
betsy_klein	DC, or on the road
bettina86	youtube.com/user/elinaxyz86
beurscentist	𝘈𝘭𝘭 𝙨𝙪𝙗 シ | 🇹🇭
beysanta	Maastricht, The Netherlands
bfaliszek	Zabrze / Mysłowice, Silesia, Poland
bfraser747	🇨🇦🇺🇸
bhat_08	Srinagar | Pune
bhavi1162	Adyar, Mylapore Tiruvallike
bhavyang	ÜT: 19.058939,72.839751
bhensaa	Near Muslim just outside Islam
bheraldo7	Funchal, Mediera
bhimaNW	Provehito In Altum
bhrater	here!
bhumsir	ไฟกับไฟ เข้ากันได้
biancoresearch	Click link below for a free trial:
biasless	the river of tears
bibianebio	World citizen
bibihajar_	M A L A Y S I A
bignolan9	sunny poopy town, CA
bijak_politik	pengampu ada di mana², opportu
bilal031192	where you want to see me
bilaldsaputra	Unkown
bill_ntm	🌍
bill_tansey	Chiraq, Illinoisistan
bilongma	Lowest Mainland, BC
binariospe	010111001
biradimvar	açık hava tımarhanesi
bisquiat	Anhedonia, USA
bitcatcha	The Internet
bitchMae87	Dapitan City Zambo.del Norte
bitchinomics	Tidak di hatimu.
bitchycatalan	de Barcelona, ahora en Madrid
bitcoinagile	Matter Doesn't Matter
bitcuantico	Ciudad de México • jramirez.mx
bitinn	比特客栈
bitsend	부산임다...
bitspec	Canada, Italy, Spain, Romania
bizrpt	Find NBR on your TV at nbr.com
bj1012682	No lists!!!
bjweinman	Chicago suburb, IL, USA
bk9sw	Ho Chi Minh CityVN,
bkaydw	 ID, UT, CA, KS, CT
bkm919	Sufside Beach sc
blackChinahand	China | 中国
blackallerhr57	Piedras Negras, Coahuila de Za
blackarcintel	Global Feed
blackflag_2012	AmeriKKKA
blackhat1989	Guatemalteco. de la zona 5
blackjuanan	Somewhere over the rainbow
blacksheep_inn	753 Riverside, Wakefield QC
bladzz27	Calabanga, Bicol Region
blaisengo	Zabanga
blanca_mar2004	Puebla,Pue y Lerma, edo de Mex
blanchedeverau5	noneofurbeezwax
blankaut	Toskana-Fraktion
blcm_brlk	U States of Under Construction
blindjoeyg	TheGwam
blindnegation	past degree zero
blinkerdbritain	Outside the London Bubble
blk_bk	flyover country
blnShap	🌎 shap.bln.92 FB
blogdiva	in the recesses of your brain
bloggi	Ruhrmetropole (Germany)
blondiemeeko	Doña Ana, NM for now...
bluegrassbloke	 BC, US, Asia or Europe.
bluelikeneptune	sleep, cant keep up with life
bluesk_complx	live in GuZu
bluetopazkitten	Somewhere Over The Rainbow
bmcyxx	L-1485 Galaxy ,614 planet
bml_khubbard	Seattle,Washington,USA,Earth
bmlyon	🧭
boatdood	50°50'20"N•118°58'37"W
boboras_	Rounda,Kenya
bobverburg	kingdom netherlands /Suriname
bocquet_7	🌎La planete bleue🌏
bohemianww	Ontari-ari-ari-O... Canadians are awesome
boldredbull	Miami, Florida, USA
boletipzjosecas	Mundo Aduanas
boneydut	40 37 42 1 N 111 53 48 3 W
bonga_online	South Africa and Worldwide
boo_aboutme	Living mainly on Earth
bookmm35	ที่ไหนก็ได้
boong_boongi	Di Hatinya Brian
boowvlom	Exo planet
boriswapgeek	sur mon smartphone
borjatabe	MADRID/A CORUÑA
borneoboomstick	The jungles of Borneo
bornxntuesday	en tu lista de silenciados
bothandeach	Vancouver, currently
botliberalisme	Créé par @ze_fisch, pour vous servir.
bourbonislife80	537 Paper Street, Bradford 198
bourse_renaud	le partage est ma valeur ici
boy2arazukinsin	ギュンマー やる気、元気、気合い、
boyinpinkk	YOONWOO's room
bozzione	Made it to NC.....see ya WI!
bp22	RUN DEEP RUN WILD
bpict_	텔레그램 @bpict
bptcrown	Classified
br0k3nhalos	witness protection
bracing	I'm more American than you are 🇺🇸🇺🇸🇺🇸  "Surprised to hear this" = You're a damn liar.
bradpierced3	CUBA, RIO, ISTANBUL🐃🐂.MOONSO
brandingmakale	İstanbul - Ankara
bravojames	New Castle, PA
brayomrefu	Where God put me
brazosrealist	Rice University, Houston, TX
brecker54	155-2-11
breezeSZN	NorthPhilly
brenda_mona_	Wakanda!
briancastro93	on toilet
brianmacian	𝘞𝘢𝘴𝘩𝘪𝘯𝘨𝘵𝘰𝘯, 𝘋𝘊
brianmlucey	TCD and North Kildare
brianpiercy	Gainin' on ya
briareos	琵琶湖県
bridge2nowhere	Palm Springs / Los Angeles / Houston / Miami
brigantinen	Västkusten
broccarter	iPhone: 35.150120,-101.901573
brokenbong	Sunny,Cali
brokenpyxis	🦊🐺🐿️
browntownpr	Somewhere in the Good Old USA
brstlbck	Deepwater Horizon
bruceegert	NYC/NJ Metro
bruhh_yan	payag ni tisay
brundaxdheit	Planète terre
brunhildenator	stuck in a snow globe
brutmajeur	The Big Blue Marble
brutoddskier	Where the deer & antelope play
bryanbz	A nice warm city K.L. Malaysia
brysio76	Od zawsze Krakówek
bschmidty24	St. Peter’s Gate
bsubbareddy_s4	Global, Atlanta, North America
bteaser22	ÜT: 6.4755153,3.7205373
bthefirsttoknow	US markets
btrsyiahni	Johore, Malaysia
bu_opor	สงขลา, ประเทศไทย
buabdall2	Riyadh, Kingdom of Saudi Arabi
bubblechatime	Lantai 3 rumah gua
bubblegum_tick	Riding with Chris And Snoop
bubblyluchz	🌍
bucinichitan	di hatimu
bucketoftongues	Aberdeen/Beijing
bucleod	Motherwell, P.E., RSA, AFRICA
budinhama	Texas, Kemamang
budis1909	Facebook, Instagram,
budunoob	Pulau Pening
bugabuga	U.S.A!
buggyku	CEB|MNL
buibuizu	神奈川県横浜市
bukan_ksatria	ikrarsatria93@gmail.com
bulldogbt34	Undisclosed. Classified.
bulldogva7	Psalm 91
bullionbuy3r	Surr3y BC
bullriders1	Balboa Peninsula, SoCal USA
bunbumbam	@bambam1a/@got7official
burattino14	RT not necess. endorsement
burjbabe	Wales/Chicago/Dubai/Spain
burlphyl	Near the beach  😎 🌴🌊
bursasaham	SunterLand - Brotherland
bushgrad	searching... Azania.. captured
bushgrey	Moscow, Omsk, Bad Homburg.
bushi_jp	 World news  Мировые новости
business	New York and the World
busy_soup	America the great ♥️♥️♥️
butt_kookie	Jikook's butt
bvipzb	𝐄𝐚𝐫𝐭𝐡
bwalyae_zm	Eons Beyond
bwanamaina	localhost
bwisotzkey	41.968225,-71.862337
bxmqky_	galaxyKY
by_Ukraine	Типовий Укроп™
bydave___	Pale blue dot
bykx4	Blessed Earth
byte_koko	เด็กเภสัชผู้บ้าบอ
byteties	จ.เชียงใหม่, ประเทศไทย
byuneepan	real__CHANBAEK
byungalionel	In RWANDA before i pass out!!
byunhunlady	just let me love you
byvek	ÜT: 19.539419,-99.215071
byxspeaks	Cardiff x Manila
c0rr0s10n	/srv/*
c1ara11	Everywhere Anywhere
c2hubbard	stay away
c_javerdal	The middle of Sweden
c_jcena	En algún lugar.
ca_tweet	京都府相楽郡精華町
caamanovive	Ciudad Esperanza, Rep. Dom.
cabkack	République Démocratique Du Con
cabozz	Zionite!!!
cackerman1	Boston, MA       192.168.1.1
cadenslavna_eve	swamp (advanced)
cadmiumadvtech	Office in Greater Chicago
caesar_wanya	対話システム
caffeixn	IG : caffein.tea
cahulaan	ÜT: 48.195723,-122.119899
cahyod	ÜT: -7.322965,112.745826
caioberom	Fiu-í, paraguay!
cakeeer	here and there
cakitsubata	ラダトームの町
caldude106	Everywhere amd nowhere
calf27	mostly Seoul
calgarysun	ÜT: 50.953278,-113.978785
cali456789	Cali la sucursal del cielo
calibres32_32	En todas partes
calif6native	Proud Native Californian
callkev2	In the Matrix
callmetofu_	*blank*
camachosoft	Santo Domingo, Rep Dominicana
cambodia92	Tweets are my own. Retweets may or may not mean endorsement
cambodiadaily	youtube.com//TheCambodiaDailyTM
camilateleSUR	Independencia y Patria Socialista
camjcall	he/him/his
camscics	NoHo Arts District, CA
canahood	Planet Earth
canal_tec	La nube ☁
candala_	🌈
candrosinabutar	+62 22 ------ +62 21
cannaphiles	All over the matrix
cannotplace	CosmicvilleGlobelandTweetenham
canoe21	東京都町田市
canopus41	Jackarta
canotun	おへや
canterubi1	M1000B
capa_inc	東京 千代田区
capdevielleja	Tierra de Libertadores
capelito_12	Por Ahí...
capitanwhatafak	In a 1000 Stars Hotel
capnthommo	What fresh hell is this?
capt_saleh	Bio ni aty, ata to maths b ni
captain_kuro	in my mind
captain_trap	鹿児島県鹿児島市
captaindee10	ÜT: 12.0295296,8.5060714
captivefish	千葉県北部
captporkchop	Ogrimmar
caralviarez	ÜT: 7.914493,-72.246949
carbolton	Washington, DC via RI, PA, CA
carcaramantin	El Callao / Lima - Perú
cardsgirl04	On the Farm in Missouri
careagedriverce	Serving Greater Milwaukee,Wi
carito_caracol	Metropolitana de Santiago, Chi
carlisle777	The Narragansett Lands
carlitrosdereng	Rengo city / Chile
carlocarriere	CCCP
carlomallo	Makati | Davao
carlosandresu7	Área 51 👽
carloslimongih	ÜT: -2.181338,-79.869977
carlosmartinezr	El género humano
carlynewman	Gold Coast, Australia
carmenm28106963	Ciudad Pdte Franco
carnero_forever	🇪🇺
carolekingnyc	New York • Washington • Tampa
carolerae	SC now//Heart in IL
carrot_carrot	Kyoto city,JPN
casadelospeces	Av de las Fuentes 174-C
casetheaceeurop	Somehwere over the rainbow
casey_lau	Vancouver 🇨🇦 Hong Kong 🇭🇰 Dublin 🇨🇮
cashch	Zürich | Schweiz
cashpharma	51.5074° N, 0.1278° W
casioisac	Boston, London, Tokyo
cassandra17lina	North Carolina - USA 🇺🇸
castromil	planet earth
cat_muzzle	にゃまと帝国
cat_zodiac	Hipster Hell, NY
catgirlsec	they/them
cathyphi	Right now...We can no longer accept 45 as a fit man to be the president of the USA.
catmikk	Silicon Valley/Kailua
cats_babyblues	43.025878,-84.165982
cavaillefreder2	Gard, Languedoc-Roussillon
cayeruby	GürtelpunicayEres de Facistan
cayjun	Earth
cbcasithappens	All over the world
cbnwangbo	Shanghai，China
ccadelago	SF to DC
ccthpp99	Stay in Mr.Moon Heart ❤🌙
cdiddy42	Erdrea
cdillmann	Bechtle GmbH & Co. KG, Pfungstädter Str. 102, 64297 Darmstadt
cdnfp	NATO and CGAI Fellow
cdub67	ÜT: 30.442229,-87.19376
cebudailynews	NRA, Cebu City, Philippines
ceci_achao	En Achao, Mar Interior Chiloé
cedric	ÜT: 48.810764,2.363153
ceeeeggg	Sea of Humanity
cele_sandile33	PROUDLY PORTSHEPSTONE
celestialweasel	North Wessex Downs AONB
cellinip	internet industry analysis
celsius220	いしのなかにいる
celvinpratama2	Semarang, Indonesian
cempala	‏‏‎⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, ⠀, , , ⠀
cempedaknangka_	UPM | CheSitiWanKembang
cepayan	Monterrey N.L.
cerullianblue	Outraged American  #Bennet2020
cestmoiM	LEARN ABOUT 'NEW PAKISTAN'👉🏻
ceterispar1bus	🌍
ceys92	k.key borneo
cfirmleader	INTEL-STRATEGIC
cgeary2	SoCal
cgtnenespanol	北京, 中华人民共和国
ch1kala	下町厨房
chacha_ahcahc	🇲🇨
chachomanopapa	Boriken (surreally), USA
chad_alt	Mïdgârd, but the swampy part
chadapornt30	กรุงเทพมหานคร, ประเทศไทย
chadbironga	Lodwar, Kemera, Nairobi
chaecream	อุดรธานี, ประเทศไทย
chalocervant	Curumaní - Valledupar
chandrakiraaana	Pekalongan - Semarang
changbogo100	나의 고향 개성
changemyrate	California, Colorado, Florida, Louisiana, Texas, Utah
charlesarthur	Tranquility Base Hotel & Casino
charleserenesto	Harare
charlesyeo	Singapore  /New York  /Taipei
charleycharley7	鹿児島の離島に移住
charluv2011	Belize by way of Wakanda
chascar731	❤️LOVE MY PRESIDENT❤️
chauchar1011	Costa Rica🇨🇷💔🇱🇧Lebanon
chavezglen1755	Dischanted States of America
chechachichochu	Philippines, mi patria adorada
checkintheherd	North of Donalds Wall
cheewygirl	love bts, equally.
cheksitiaishah	Rawang.KualaLumpur.
chekursix	(HSLD) or The Lone Star
chelearce_	En algún lugar de un gran país
chemosh933	Rebelscum HQ the Anthropocene
chenaabi	yyz/mux
cheney_hugo	安徽, 中华人民共和国
chengshangliu1	東京 北区
chengsheng1991	hangzhou，china
cherrypicker68	Oakville Ont
chervls	ช ริ น ท ร์ ＣＨＥＲＴＡＩＭＥ
cheryl69121456	near Vancouver BC
chesskevo	Nairobi,Kenya(+254)
cheviray	Jkt,ind,sea
chey_cobb	🇺🇸 and 🇬🇧
chhcuo	Washington, DC 白宫||北京, China||瑞士,Geneva||香港, HK|| Everywhere
chicageek	Badajoz - Barcelona
chicharin69	MEXICO D.F./ COACALCO , MEX
chichithegreath	Lana Del Rey's depressive bop
chidambara09	Mysore  and  BERLIN
chidori1079	2.3次元
chigaku_cat	モデロケ4級ライセンスとったどー
chigrl	Montréal, Québec, Chicago
chiiphoney	exolove
chika_mori_uni	FC ゴブ13拡張区30　個人 ラベ13拡張区58
chilL0wafer	☁
chimamankaa	here, there, but nowhere
chimot_	Rune Midgard
chimspice	Lasgidi
chinavtv	香港  台灣 馬來西亞 北美  澳洲
chinayvan	野人山
chinelli202	Earth 616, Milky Way
chintancshah	Planet Earth
chiratt	Whatusedtobeamerica
chiyodad	KEEP CALM AND EAT TOMATO
chjatin115	In your kernels
chkzulu	panamania
chlwoejr01222	민군화합의 도시, 계룡 OR 순대마을 천안 병천면
choco21945096	東京 目黒区
chocoocheese_	Ababwa
chogunwook	Seoul , merci
choijayjay	방콕,태국  ที่ที่มีแสง ☺ タイ
chokemechaeng	223.27km away from my home
chom_babaaa	นกแลนด์​แดนมหัศจรรย์​
chorraconquense	Directo al corazon
choy_kapitan	Ajuy, Westeran Visayas
chreamyeahh	คลังอาวุธ
chris_b4	🌹 City
chrisbx515	Birmingham - UK
chrisczerwonka	BER/MAD/DKR/MEX – via MSP
chrisdussault62	PARIS, MTL. NEW-YORK, LONDON
chrisehyman	GeeksResist HQ - MO
chrisschmitz	127.0.0.1
christadel02	bekasi - karawang
christianphagen	Chicago / Whitefish
christiansarkar	LOVE over HATE
christoph4204	Global Macro
christophermyna	台灣 台北市
christywngg	🏳‍🌈
chriszen1	四川, 中华人民共和国
chroby12	Surabaya-Pontianak-Indonesia
chudi_chudia	shot'left
chuffy13579	Chuffnell Regis
chukuriimu	To the world, Mato Planet
chum_masaya	北海道札幌市
chumenichi	台灣 taiwan（蓬萊仙島 Penglai Xiandao）
cibercrimen	Latinoamérica (MX y CO)
cicibb_c	Hong Kong, Auckland
cidbibar	Caracas,la Sultana del Avila.
cierzo1	where the Cierzo takes me
cikgusinga	Namek Planet
cindycrum	Earthling
cingbararam	กรุงเทพมหานคร, ประเทศไทย
cisne2negro	Little Storpington on t’ Swuff
citiusminds	1108 North Plum Road, USA
citizenerased_O	Rural Botswana🇧🇼
citrus_kyoto	京都府京都市
citrusoil	Idiocracy
citygirlvip	Planet Earth
ciudadfutura	Madrid, España 🌍
cj980088	Republic of Lambeth
cjmark99	 MAGA Town
cjtrunchar	Somewhere over  the rainbow
ckjeanzz	ที่สบายใจ
ckmurat	Hamburg (GER) - Alanya (TUR)
clairefelicite2	@nakwrdfairytale @fisajanedoe
clairvoyant_le	Là-haut sur la montagneuuu
clangwhite	Chimerica
claraworldmedia	United Kingdom | US | Africa | Canada
clarkle01	The Sequestrium
claudianpliego	De tierra hiperbórea
claudioarrepol	Barros Arana N° 645, piso 7°
claudioemmanue	ᑕᒪᗩᕰↁᓰ〇 ᔕᘉᗩᖘ ᗷᗩᑕḰ
claurejaime	instagram.com/jaimeclaure
clausgiraldo	Colgando en tus Manos
clearskies54	Dallas TX - Cincinnati OH
cleebration	48.269546,14.313084
clemsos	Lyon, Lausanne, 深圳
clemtan	here, there, everywhere
cleomedes_endym	東京都板橋区高架下路地
clock_one	岐阜県関市（2016/09から）
cloud9_Pang	13.811734,100.562129
cloudsinblusky	dirumah
cloudwanderer3	Laurelindórenan
clovesdshaw	Near The Vineyards
clrncandre	mouri detective agency
clumsygoof	Seremblunt
clumsymerissa	KL • KCH
cmaenteprises	Greater Atlanta Area
cmarkerm	Second star to the right...
cmartingar	Madrid y Valladolid
cmillerEfriends	Georgia
cnbanana	13.641284,100.410399
cnmyoongi	knj+ksj+myg+jhs+pjm+kth+jjk
cnnsuxx	Global Citizen
co283528	ペイル領　ロレイウス農園となり
coaimpaul	Dublin, Wexford, Ireland, EU
coasa	◆coasa.kwHw
coccoccoc1	🇨🇦
cocoNut160746	ใต้ฟ้าบนดิน อิ_อิ
coco_d0r	26.101250, -71.130278
cocokit	愛知県 尾張西部
cocooiiuu	🇹🇭
codaflex	Toronto, Canada + New York, USA
codeCrypto	127.0.0.1:8333/tupelo
codeWithJS	twitter jail
code_afro	群馬 前橋市
cododegato	Katzenellenbogen
coemuze	Global Citizen
coffeeownsme	A BLUE dot in a RED SWAMP!
cognitivedis312	On the offer #MysizeIsYourSize
cognoscere11	Where the sun always shines
coileanomurchu	Occupied Ohlone Land
colbanno	People's Republic of Brighton & Hove
coldplague	Addis, Omicron Persei 8
coleoptero	Más allá del muro
colincesar	19.379584,-99.167139
colnbrookca	Colnbrook, Nr Slough Berkshire
colombianparse	BCN / Hospitalet de Llobregat
colourspeak	Melbourne, Online
columnacayuco	18.011027,-92.924068
colvinj	I ❤️ NYC
comedyproshop	Aurora, Ont. (n. of Toronto)
comichyy	ꔛ⌯♡pcy+jaeyong+h1ghr♡⌯ꔛ
comkev8	Occupied Shawnee Territory
commandantr	La mekan
companionmedia	So Fla
complexnum3er	Nihon Tokyo Suginami
conburrun	Vezuela
condorbox	43.52247,13.23519
conejo_1276	Guatemala City 😉😉😉
congkii	221B Baker Street
conlibrarian	Anerica 🇺🇸
connoisseur_j	btw certainty & uncertainty
connorfgws	WOLFMANIA
conservateurmom	Hopefully Heaven
conspirasino	she/her
constanmelendez	Isla de cubagua - Bajo del mar
contactmzn	World Citizen
contaxndigital	東京，日本
contenttheory	41.824158,-71.441339
continimarco	Milano/Roma/Londra/Parigi
conz2	N 34°15' 0'' / W 118°36' 0''
cookissndream	GENIUS LAB, Neverland
copengin_l880	妄想と現実の狭間あたり
cora_cervantes	New York, NY / East LA, CA
corcho1316	Cap. Fed. Argentina🇦🇷
coriandreas	Lüneburger Steppe
corona_cap	San Francisco | BVI
coronasha	東京都文京区千石4-46-10
cosmos_augusto	Worldwire
costelo78	Youido Seoul Korea
cotodaman	DesignArts Creative Studio, Japan
cottonIM_	fluffy land
coug444	I thought i lived in US. Now?
couki26223	東京 中野区
courtofjustus	🇨🇭🇦🇮
covfefe_y	42.1893,-70.945779
cowgirl_ed1	Liniers, Arg.
cowinzoo	In a paddock contemplating flowers and the price of milk
coztjrs	un peu partout
cp24co	RealTimeCeylonPlus24™
cpl_yamada	北海道 北海道地方
crabbydick	NY CO FL
cracker9100	Tennessee, !
craig_s_bell	West Linn, Clackistan Province
crampell	Here and there. Usually NYC.
craving_filled	County Chocula
crazyjublek	exo/nct
creatia	Somewhere in the world
crewislife	Fact Based World
crimeideia	Algum lugar no Brasil
cristinaizpr	Por ahí en cutarras
cristovaolimaa	Parelhas/RN ↔ Caicó/RN
crmunoz27	MBA, ex{ CISA,CISSP,CHFI,PMP }
crnglnroniela	sscr-pup
croft_garry	City of Preston, LancashireUK.
croissantandtea	ยุคสมัยของ9เด็กสาว 10พี่น้อง
croscrocs	job in US, farm in Ghana
crosscadia	Seattle - Vancouver - Portland
crs	東京近郊
crs205	here and there
cruizgomez	40.572683,-3.90196
crule_net	日本 東京都 802市
cruxidex	Jalan Bukit, Kajang
crvenigazda	Barcelona, URSS-Београд, СФРЈ
crvzjerica	tulpo-mocha-bubbles-abie
crypt0cranium	Dark Fiber
cryptoMelea	$Crypto
crypto_fury	World Wide Web
crypto_politics	Oaksterdam
cryptobeaker	decentralized
cryptobros7880	Catalina Wine Mixer
cryptocoinage	In the world but not of it
cryptoshah	Twetchistan/Silkroad
crystalboygold	Hkkaido Japan
cs33ca	NY U.S UK World wide
csapkota	Tokyo; Kathmandu; DC
cscolari	Vic (68 km from Barcelona)
csdickey	iPhone: 48.882430,2.302278
csfolmer	vlaardingen, Netherland
csinrainbow1	SJ, CA
csmende	Aucklandia, Aotearoa.
ctdijah	Malaysia
ctywellnssatlas	iimtoday.ca
cultofmac	San Francisco and elsewhere
culturalyinzer	🅱️itts🅱️urgh
curiburn	群馬を馬鹿にしないで＞＜
curly3austin	Blueberry in the Tomato Soup
cutelittlealon	jz,sm,cd9,cyp,pll,so,cp,pau..
cutsafrica	Accra, Nairobi & Lusaka
cvrauwdeunt	Brielle in The Netherlands
cw4t7abs	Earth Sol 1 MilkyWay Laniakea
cwellsnj	So.Jersey
cwigarett	nsfw || ocrp || kkt: ddeongwuu
cybercurrents	179° 56′ 39.4″ +0° 2′ 46.2″
cyberreport_io	127.0.01
cydoniacapital	New York, Hong Kong, Budapest
cyluvs	fa ca pa
cyphersuh	TX - 🇲🇽
cyrille_ts	Between Yokohama & Tokyo
cyrillyrics	Crimea, Russia
cyroons	Pesat Gatra
czarbucks	Western North Carolina (fled Orlando)
d1Vinman	far norCal(angrywhitemanistan)
d1egovf	Esquipulas, Antigua Guatemala
d8AU7xf9p4C5PfV	日本国 NIPPON
d__kd1999	JP-38 (since 2006)
d_honata	ÜT: -6.159171,106.818598
d_itchou	ながの→ちば→？
d_jackie_ramos	Washington, DC - Hail from Door County, WI.
d_jeje	Highway to hell
d_k_1224	愛知県名古屋市
d_mccarthy37	Inside the Beltway
da_swell	Brussels, Alicante, Göteborg
dabbs346	DC via Chicago & Oklahoma
dabrams2021	iPhone: 35.848959,-78.692313
dachunzhu	群馬県 吾妻郡 草津町
dacooster	never you mind
daddytanpasugar	Earth, Milky Way
dafeliperojas10	Tu corazón
dahboo7	http://youtube.com/dahboo77
dai0313kon	京都市中京区 自分の家
daicing	often Vermont
daiki18004184	多分大阪府民
daimanfiqolbi	somewhere in Malaysia
daism	Osaka→Aichi→Fukui→Aichi ｲﾏｺｺ
daisycutter7	２５日平均線のちょっと下ぐらい
daiwa1118	趣味：パズドラ・通信関係
dajorcor	San Vicente TT - STGO - Madrid
dalepoak	Falls Church, VA/Dedham, ME
dallasfrosty	Shite hole Country
damialishaa	🇲🇾
damirasue	Between FL8 and JT26
damnpamfromnamm	Near the Port of L.A.
dan_barcher	Algún lugar de un gran país
danaceda	http://bit.ly/2rffXYn
danamphred	République Démocratique Du Con
danbuding	太阳系第三行星。
dandrezner	Really, where am I not?
dani_gongar	capital del sentimiento
danialakml	2.9619° N, 101.7571°
danie10	-33.934509,18.472212
daniel_wwf	Inside the Blockchain
danielalbahena	Paris, France | Salt Lake City
danielashrafz	하닛 암니
danielchaitin7	Washington, D.C.-Metro Area
danieljailanie	جازان, المملكة العربية السعودي
danielleiat	danielletcholakian.com
danielletichner	Israel/HongKong
danielrn5	Un lugar llamado Mundo
danielsunread	Instapaper
danimunf	in front of digitalic screen
danmicovic	Miami Beach, Chicago
danndoh	Upstairs
dannowicki	Phoenix, Ariz.
darealgob	UST 🐯🐯
darealjaymz	New York City || Massachusetts
darkangel_19666	LuRi25666gmickeyso
darkcat_genuine	日本軍, Japan
darkhunt99	34.007517,71.573522
darkid	Planet earth.
darkmastergrey	Middle of Nowhere, USA
darksideofthemo	Home in my castle.
darksouldream	geek world
darren_yan	1.275522,103.846104
darth_yohan	15 Yemen Road, Yemen
darthvida	Pasig City, National Capital R
daryuschandra	I'm here
dasanil	→∞ ∧ ℵ₁
dataeconomy	From London to the world
datagoodies	Yankeeland born NOLA
datasmog	iPhone: 52.781779,-0.200265
datmusicsgroovy	Tropical archipelago, U.S.A
